id,track,topic,problem,inputType,variables,answer,acceptedFormats,solution1,solution2,solution3,solution4,solution5,hint1,hint2,date
1,standard,Quadratics,Solve: x² - 5x + 6 = 0,multiple,x,"x = 2, 3","x = 2, 3 | x = 3, 2 | 2, 3 | 3, 2 | x = 2 or x = 3 | x = 3 or x = 2",Look for two numbers that multiply to 6 and add to -5,The numbers are -2 and -3: (-2)(-3) = 6 and (-2) + (-3) = -5,Factor: x² - 5x + 6 = (x - 2)(x - 3) = 0,Apply the zero product property: x - 2 = 0 or x - 3 = 0,Therefore x = 2 or x = 3,Look for two numbers that multiply to the constant term and add to the coefficient of x,Both numbers are negative — try -2 and -3,
2,standard,Quadratics,Solve: 2x² + 7x - 15 = 0,multiple,x,"x = -5, 1.5","x = -5, 1.5 | x = 1.5, -5 | -5, 1.5 | 1.5, -5 | x = -5 or x = 1.5 | x = -5, 3/2 | x = 3/2, -5",Multiply a × c = 2 × (-15) = -30; find two numbers that multiply to -30 and add to 7,Those numbers are 10 and -3: 10 × (-3) = -30 and 10 + (-3) = 7,Rewrite the middle term: 2x² + 10x - 3x - 15 = 0,Factor by grouping: 2x(x + 5) - 3(x + 5) = (2x - 3)(x + 5) = 0,Solve: 2x - 3 = 0 gives x = 1.5; x + 5 = 0 gives x = -5,"Multiply the leading coefficient by the constant to get -30, then find two factors that sum to 7","Try splitting the middle term using 10 and -3, then factor by grouping",
3,standard,Quadratics,Solve by completing the square: x² - 4x - 12 = 0,multiple,x,"x = -2, 6","x = -2, 6 | x = 6, -2 | -2, 6 | 6, -2 | x = -2 or x = 6 | x = 6 or x = -2",Move the constant to the right: x² - 4x = 12,Add (4/2)² = 4 to both sides: x² - 4x + 4 = 16,Write the left side as a perfect square: (x - 2)² = 16,Take the square root of both sides: x - 2 = ±4,Solve: x = 2 + 4 = 6 or x = 2 - 4 = -2,"Move the constant to the right, then add (half the x-coefficient)² to both sides",After completing the square you'll have (x - 2)² = 16 — take square roots,
4,standard,Quadratics,Use the quadratic formula to solve: 3x² - 5x - 2 = 0,multiple,x,"x = -1/3, 2","x = -1/3, 2 | x = 2, -1/3 | -1/3, 2 | 2, -1/3 | x = 2 or x = -1/3 | x = -0.333, 2","Identify a = 3, b = -5, c = -2",Calculate the discriminant: b² - 4ac = 25 + 24 = 49,Apply the formula: x = (5 ± √49) / 6 = (5 ± 7) / 6,Two solutions: x = (5 + 7)/6 = 12/6 = 2 and x = (5 - 7)/6 = -2/6 = -1/3,Therefore x = 2 or x = -1/3,"Identify a, b, c and substitute into x = (-b ± √(b² - 4ac)) / 2a","The discriminant b² - 4ac = 49, which is a perfect square — the arithmetic stays clean",
5,standard,Quadratics,"A rectangle's length is 4 cm more than its width. If the area is 21 cm², find the width.",single,w,3 cm,3 cm | 3 | w = 3 | w = 3 cm,Let the width be w cm; then the length is (w + 4) cm,Set up the area equation: w(w + 4) = 21,Expand and rearrange: w² + 4w - 21 = 0,Factor: (w + 7)(w - 3) = 0,"Since width must be positive, reject w = -7 and take w = 3 cm","Define the width as w — the length is w + 4, and area = length × width",You'll get w² + 4w - 21 = 0; look for two numbers that multiply to -21 and add to 4,
6,standard,Quadratics,Find the value(s) of k for which x² + kx + 9 = 0 has equal roots.,multiple,k,"k = 6, -6","k = 6, -6 | k = -6, 6 | k = ±6 | 6, -6 | -6, 6 | k = 6 or k = -6","For equal roots, the discriminant must equal zero: Δ = b² - 4ac = 0","Here a = 1, b = k, c = 9, so the discriminant is k² - 4(1)(9) = k² - 36",Set it equal to zero: k² - 36 = 0,"Solve: k² = 36, so k = ±6",Therefore k = 6 or k = -6,Equal roots occur when the discriminant b² - 4ac equals exactly zero,Substitute into k² - 4(1)(9) = 0 and solve for k,
7,standard,Simultaneous Equations,Solve: y = 2x - 1 and x + y = 8,single,x | y,"x = 3, y = 5","x = 3, y = 5 | x=3, y=5 | (3, 5) | x = 3 and y = 5","Since y = 2x - 1 is already isolated, substitute it into the second equation",x + (2x - 1) = 8,"Simplify: 3x - 1 = 8, so 3x = 9 and x = 3",Substitute back: y = 2(3) - 1 = 5,"Solution: x = 3, y = 5",Substitute the expression for y from the first equation directly into the second,"After substituting you'll have a single equation in x only — solve it, then find y",
8,standard,Simultaneous Equations,Solve: 3x + 2y = 12 and x - 2y = 4,single,x | y,"x = 4, y = 0","x = 4, y = 0 | x=4, y=0 | (4, 0) | x = 4 and y = 0","Notice the y-coefficients are +2 and -2 — they're opposites, so adding eliminates y",Add the equations: (3x + 2y) + (x - 2y) = 12 + 4,"Simplify: 4x = 16, so x = 4","Substitute into x - 2y = 4: 4 - 2y = 4, so 2y = 0 and y = 0","Solution: x = 4, y = 0","Look at the y-coefficients — they're +2 and -2, so adding the equations eliminates y immediately","After finding x = 4, substitute into either original equation to find y",
9,standard,Simultaneous Equations,Solve: 2x + 3y = 7 and 3x - y = 5,single,x | y,"x = 2, y = 1","x = 2, y = 1 | x=2, y=1 | (2, 1) | x = 2 and y = 1","From the second equation, isolate y: y = 3x - 5",Substitute into the first: 2x + 3(3x - 5) = 7,"Expand: 2x + 9x - 15 = 7, so 11x = 22 and x = 2",Substitute back: y = 3(2) - 5 = 1,"Solution: x = 2, y = 1","Rearrange the second equation to isolate y, then substitute into the first","After substituting, collect like terms to get 11x = 22",
10,standard,Simultaneous Equations,Solve: x - y = 3 and 2x + y = 15,single,x | y,"x = 6, y = 3","x = 6, y = 3 | x=6, y=3 | (6, 3) | x = 6 and y = 3",The y-terms are -y and +y — they cancel when we add the equations,Add: (x - y) + (2x + y) = 3 + 15,"Simplify: 3x = 18, so x = 6","Substitute into x - y = 3: 6 - y = 3, so y = 3","Solution: x = 6, y = 3",Adding the two equations will cancel the y-variable immediately,"After finding x = 6, substitute into either equation to find y",
